id	item_group_id	title	description	price	sale_price	image_link	link	availability	product_type	color	size	custom_label_0	parent_sku	sales_count_10_days	sales_count_conversions_10_days	release_date	inventory_count	low_stock	sales_count_conversions_1_day	woh	wide_width	wide_calf
WE2355828-1429-83120	14691826	"Birdie Platform Sandal"	" Material: Faux Leather Heel Height: 3.25"" Platform Height: 2.5"" Measurements will vary slightly Closure: Adjustable Buckle Imported "	"$44.95 "	$11.24	https://us-cdn.justfab.com/media/images/products/WE2355828-1429/WE2355828-1429-2_589x860.jpg	//justfab.com/products/Birdie-Platform-Sandal-WE2355828-1429	"out of stock"	"Fashion > Shoes > Sandals > Ankle Strap"	"Birch White"	12	7	WE2355828-1429	39	7	05/30/2023	848		1	30.3		
PP2043022-6922-83120	14693113	"Brit Sling-Back Flared Pump"	" Material: Faux Suede Heel Height: 4.0"" Measurements will vary slightly Closure: Elastic Strap Imported "	"$49.95 "	$12.49	https://us-cdn.justfab.com/media/images/products/PP2043022-6922/PP2043022-6922-2_589x860.jpg	//justfab.com/products/Brit-Sling-Back-Flared-Pump-PP2043022-6922	"out of stock"	"Fashion > Shoes > Pumps > Slingback"	"Clear/ Semolina Beige"	12	5	PP2043022-6922	25	5	07/27/2023	552		1	15.8		
HD2356108-6928-84120	14730301	"Sereia Heeled Sandal"	" Material: Faux Leather Heel Height: 5.0"" Platform Height:  1.5"" Measurements will vary slightly Closure: Adjustable Buckle Imported "	"$52.95 "	$13.24	https://us-cdn.justfab.com/media/images/products/HD2356108-6928/HD2356108-6928-2_589x860.jpg	//justfab.com/products/Sereia-Heeled-Sandal-HD2356108-6928	"out of stock"	"Fashion > Shoes > Sandals > Ankle Strap"	"French Oak/Lt Brown"	12	4	HD2356108-6928	23	4	06/12/2023	788		1	112.6		
WE2355851-7829-84120	14730691	"Vienna Wedge Sandal"	" Material: Faux Suede Heel Height: 3.5"" Measurements will vary slightly Imported "	"$32.95 "	$8.24	https://us-cdn.justfab.com/media/images/products/WE2355851-7829/WE2355851-7829-2_589x860.jpg	//justfab.com/products/Vienna-Wedge-Sandal-WE2355851-7829	"out of stock"	"Fashion > Shoes > Sandals > Wedge"	"Festival Fuchsia"	12	2	WE2355851-7829	50	2	06/22/2023	454		1	32.4		
SK2147836-6448-84120	14730808	"Aleale High Top Wedge Sneaker"	"Material: Denim Heel Height: 3.25"" Measurements will vary slightly Closure: Functional Inside Zipper Imported "	"$42.95 "	$10.74	https://us-cdn.justfab.com/media/images/products/SK2147836-6448/SK2147836-6448-2_589x860.jpg	//justfab.com/products/Aleale-High-Top-Wedge-Sneaker-SK2147836-6448	"out of stock"	"Fashion > Shoes > Sneakers > High Top"	CHAMBRAY	12	4	SK2147836-6448	14	4	05/29/2023	1228		1	175.4		
PP2355845-0001-84120	14731159	"Gwyn Slingback Pump"	" Material: Faux Suede Heel Height: 4.0"" Measurements will vary slightly Closure: Elastic Strap Imported "	"$42.95 "	$10.74	https://us-cdn.justfab.com/media/images/products/PP2355845-0001/PP2355845-0001-2_589x860.jpg	//justfab.com/products/Gwyn-Slingback-Pump-PP2355845-0001	"out of stock"	"Fashion > Shoes > Pumps > Slingback"	Black	12	3	PP2355845-0001	18	3	05/28/2023	987		1	47		
PP2146840-5115-84120	14731198	"Annakay Pointed Toe Pump"	" Material: Faux Leather Heel Height: 4.0"" Measurements will vary slightly Imported "	"$29.95 "	$7.49	https://us-cdn.justfab.com/media/images/products/PP2146840-5115/PP2146840-5115-2_589x860.jpg	//justfab.com/products/Annakay-Pointed-Toe-Pump-PP2146840-5115	"out of stock"	"Fashion > Shoes > Pumps > Classic"	"Orchid Petal"	12	7	PP2146840-5115	20	7	05/29/2023	40		1	2.9		
FT2355858-0001-83120	15028325	"Frankie Flat Loafer"	" Material: Faux Leather Heel Height: 1.25"" Platform Height: 0.75"" Measurements will vary slightly Closure: Slip On Imported "	"$39.95 "	$9.99	https://us-cdn.justfab.com/media/images/products/FT2355858-0001/FT2355858-0001-2_589x860.jpg	//justfab.com/products/Frankie-Flat-Loafer-FT2355858-0001	"in stock"	"Fashion > Shoes > Flats > Loafer"	Black	12	9	FT2355858-0001	86	9	08/15/2023	1327		1	23.7		
HD2354993-1810-83120	15029755	"Esmie Block Heeled Platform Sandal"	" Material: PVC Heel Height: 3.5"" Platform Height: 2.0"" Measurements will vary slightly Closure: Slip On Imported "	"$44.95 "	$11.24	https://us-cdn.justfab.com/media/images/products/HD2354993-1810/HD2354993-1810-2_589x860.jpg	//justfab.com/products/Esmie-Block-Heeled-Platform-Sandal-HD2354993-1810	"out of stock"	"Fashion > Shoes > Sandals > Mule"	Clear	12	3	HD2354993-1810	34	3	06/28/2023	981		1	140.1		
FT2355871-10958-83120	15030015	"Leona Flat Loafer"	" Material: Faux Leather Heel Height: 1.0"" Measurements will vary slightly Closure: Slip On Imported "	"$39.95 "	$9.99	https://us-cdn.justfab.com/media/images/products/FT2355871-10958/FT2355871-10958-2_589x860.jpg	//justfab.com/products/Leona-Flat-Loafer-FT2355871-10958	"out of stock"	"Fashion > Shoes > Flats > Loafer"	"Leather Brown/ Bright White"	12	6	FT2355871-10958	55	6	06/28/2023	258		1	18.4		
