id	item_group_id	title	price	sale_price	image_link	link	availability	product_type	brand	additional_image_link_1	additional_image_link_2	additional_image_link_3	inventory_count	product_sku	sales_count_conversions_10_days	additional_image_link_0	additional_image_link_4	sales_count_conversions_1_day	mpid	parent_sku	membership_brand_id	base_sku	release_date
GJ2254003-8386-33370	15214230	"All-Shift 5-Pocket Scrub Jogger"	$49.95		https://fabletics-us-cdn.justfab.com/media/images/products/GJ2254003-8386/GJ2254003-8386-1_998x1498.jpg	"https://www.fabletics.com/products/15214230?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Scrubs > Bottoms > Product Feed"	"Fabletics Men 1"		https://fabletics-us-cdn.justfab.com/media/images/products/GJ2254003-8386/GJ2254003-8386-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/GJ2254003-8386/GJ2254003-8386-4_998x1498.jpg	106	GJ2254003-8386	43		https://fabletics-us-cdn.justfab.com/media/images/products/GJ2254003-8386/GJ2254003-8386-5_998x1498.jpg	3	15214230	GJ2254003-8386	1	GJ2254003	2023/07/31
GJ2355298-8386-22270	15214510	"High Rise On-Call Scrub Jogger"	$49.95		https://fabletics-us-cdn.justfab.com/media/images/products/GJ2355298-8386/GJ2355298-8386-1_998x1498.jpg	"https://www.fabletics.com/products/15214510?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Scrubs > Bottoms > Product Feed"	"Fabletics 1"		https://fabletics-us-cdn.justfab.com/media/images/products/GJ2355298-8386/GJ2355298-8386-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/GJ2355298-8386/GJ2355298-8386-4_998x1498.jpg	183	GJ2355298-8386	289		https://fabletics-us-cdn.justfab.com/media/images/products/GJ2355298-8386/GJ2355298-8386-5_998x1498.jpg	11	15214510	GJ2355298-8386	1	GJ2355298	2023/07/31
PN2253819-8386-33370	15214820	"Intake 4-Pocket Scrub Pant"	$49.95		https://fabletics-us-cdn.justfab.com/media/images/products/PN2253819-8386/PN2253819-8386-1_998x1498.jpg	"https://www.fabletics.com/products/15214820?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Scrubs > Bottoms > Product Feed"	"Fabletics Men 1"		https://fabletics-us-cdn.justfab.com/media/images/products/PN2253819-8386/PN2253819-8386-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/PN2253819-8386/PN2253819-8386-4_998x1498.jpg	483	PN2253819-8386	30		https://fabletics-us-cdn.justfab.com/media/images/products/PN2253819-8386/PN2253819-8386-5_998x1498.jpg	8	15214820	PN2253819-8386	1	PN2253819	2023/07/31
SO2356418-0001-15060	15263430	"The Kadence Short Lined 3in"	$69.95		https://fabletics-us-cdn.justfab.com/media/images/products/SO2356418-0001/SO2356418-0001-1_998x1498.jpg	"https://www.fabletics.com/products/15263430?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Mens > Bottom > Shorts > Lined Shorts"	"Fabletics Men 1"		https://fabletics-us-cdn.justfab.com/media/images/products/SO2356418-0001/SO2356418-0001-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/SO2356418-0001/SO2356418-0001-4_998x1498.jpg	3516	SO2356418-0001	306		https://fabletics-us-cdn.justfab.com/media/images/products/SO2356418-0001/SO2356418-0001-5_998x1498.jpg	88	15263430	SO2356418-0001	1	SO2356418	2023/07/31
SO2356418-6869-15060	15263465	"The Kadence Short Lined 3in"	$69.95		https://fabletics-us-cdn.justfab.com/media/images/products/SO2356418-6869/SO2356418-6869-1_998x1498.jpg	"https://www.fabletics.com/products/15263465?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Mens > Bottom > Shorts > Lined Shorts"	"Fabletics Men 1"		https://fabletics-us-cdn.justfab.com/media/images/products/SO2356418-6869/SO2356418-6869-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/SO2356418-6869/SO2356418-6869-4_998x1498.jpg	1718	SO2356418-6869	175		https://fabletics-us-cdn.justfab.com/media/images/products/SO2356418-6869/SO2356418-6869-5_998x1498.jpg	33	15263465	SO2356418-6869	1	SO2356418	2023/07/31
SO2356419-7680-15060	15263500	"The Kadence Short Lined 3in"	$74.95		https://fabletics-us-cdn.justfab.com/media/images/products/SO2356419-7680/SO2356419-7680-1_998x1498.jpg	"https://www.fabletics.com/products/15263500?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Mens > Bottom > Shorts > Lined Shorts"	"Fabletics Men 1"		https://fabletics-us-cdn.justfab.com/media/images/products/SO2356419-7680/SO2356419-7680-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/SO2356419-7680/SO2356419-7680-4_998x1498.jpg	1584	SO2356419-7680	82		https://fabletics-us-cdn.justfab.com/media/images/products/SO2356419-7680/SO2356419-7680-5_998x1498.jpg	25	15263500	SO2356419-7680	1	SO2356419	2023/07/31
SO2356416-0001-15060	15263535	"The Kadence Short Lined 5in"	$69.95		https://fabletics-us-cdn.justfab.com/media/images/products/SO2356416-0001/SO2356416-0001-1_998x1498.jpg	"https://www.fabletics.com/products/15263535?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Mens > Bottom > Shorts > Lined Shorts"	"Fabletics Men 1"		https://fabletics-us-cdn.justfab.com/media/images/products/SO2356416-0001/SO2356416-0001-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/SO2356416-0001/SO2356416-0001-4_998x1498.jpg	924	SO2356416-0001	974		https://fabletics-us-cdn.justfab.com/media/images/products/SO2356416-0001/SO2356416-0001-5_998x1498.jpg	247	15263535	SO2356416-0001	1	SO2356416	2023/07/31
SO2356416-4846-15060	15263585	"The Kadence Short Lined 5in"	$69.95		https://fabletics-us-cdn.justfab.com/media/images/products/SO2356416-4846/SO2356416-4846-1_998x1498.jpg	"https://www.fabletics.com/products/15263585?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Mens > Bottom > Shorts > Lined Shorts"	"Fabletics Men 1"		https://fabletics-us-cdn.justfab.com/media/images/products/SO2356416-4846/SO2356416-4846-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/SO2356416-4846/SO2356416-4846-4_998x1498.jpg	3549	SO2356416-4846	334		https://fabletics-us-cdn.justfab.com/media/images/products/SO2356416-4846/SO2356416-4846-5_998x1498.jpg	87	15263585	SO2356416-4846	1	SO2356416	2023/07/31
SO2356416-6869-15060	15263635	"The Kadence Short Lined 5in"	$69.95		https://fabletics-us-cdn.justfab.com/media/images/products/SO2356416-6869/SO2356416-6869-1_998x1498.jpg	"https://www.fabletics.com/products/15263635?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Mens > Bottom > Shorts > Lined Shorts"	"Fabletics Men 1"		https://fabletics-us-cdn.justfab.com/media/images/products/SO2356416-6869/SO2356416-6869-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/SO2356416-6869/SO2356416-6869-4_998x1498.jpg	1041	SO2356416-6869	196		https://fabletics-us-cdn.justfab.com/media/images/products/SO2356416-6869/SO2356416-6869-5_998x1498.jpg	76	15263635	SO2356416-6869	1	SO2356416	2023/07/31
SO2356416-0421-15060	15263685	"The Kadence Short Lined 5in"	$69.95		https://fabletics-us-cdn.justfab.com/media/images/products/SO2356416-0421/SO2356416-0421-1_998x1498.jpg	"https://www.fabletics.com/products/15263685?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Mens > Bottom > Shorts > Lined Shorts"	"Fabletics Men 1"		https://fabletics-us-cdn.justfab.com/media/images/products/SO2356416-0421/SO2356416-0421-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/SO2356416-0421/SO2356416-0421-4_998x1498.jpg	1095	SO2356416-0421	674		https://fabletics-us-cdn.justfab.com/media/images/products/SO2356416-0421/SO2356416-0421-5_998x1498.jpg	217	15263685	SO2356416-0421	1	SO2356416	2023/07/31
